"Country","Mountain_range","Locality","Plot","Subplot","Date","Day","Month","Year","Radiation","Phos_P","Glu_P","SOC_P","NT_P","PT_P","K_P","pH_P","Cond_P","Phos_B","Glu_B","SOC_B","NT_B","PT_B","K_B","pH_B","Cond_B","Phos_T","Glu_T","SOC_T","NT_T","PT_T","K_T","pH_T","Cond_T"
"Spain","Sierra de Guadarrama","Bola del Mundo Oeste","3","4",2011-06-21,21,6,2011,0.645752329,4.7154180255,3.540067973,5.9512406105,3.875614643,0.711613072,0.019169095,4.87625,74.71,3.114132587,2.063751005,3.094213776,2.505985857,0.578650689,0.008337812,4.966,41.12,4.260792527,2.994116429,5.002231119,3.363917492,0.679005358,0.01562332,4.865730483,62.45966401
"Spain","Sierra de Guadarrama","Bola del Mundo Oeste","3","5",2011-06-21,21,6,2011,0.645752329,4.7154180255,3.540067973,5.9512406105,3.875614643,0.711613072,0.019169095,4.87625,74.71,3.114132587,2.063751005,3.094213776,2.505985857,0.578650689,0.008337812,4.966,41.12,4.260792527,2.994116429,5.002231119,3.363917492,0.679005358,0.01562332,4.865730483,62.45966401
"Spain","Sierra de Guadarrama","Cabeza de Hierro Mayor","4","1",2010-08-10,10,8,2010,0.749027591,3.6994151835,2.5704259225,3.735004795,2.89988717,0.6018836035,0.007188376,4.85525,33.545,3.250330154,2.290764057,3.211827101,2.539908693,0.56882564,0.005271639,4.626,31.5,3.531213369,2.566214934,3.360143621,2.692032834,0.601217651,0.00598105,4.791225919,30.79023613
"Spain","Sierra de Guadarrama","Cabeza de Hierro Mayor","4","2",2010-08-10,10,8,2010,0.749027591,3.6994151835,2.5704259225,3.735004795,2.89988717,0.6018836035,0.007188376,4.85525,33.545,3.250330154,2.290764057,3.211827101,2.539908693,0.56882564,0.005271639,4.626,31.5,3.531213369,2.566214934,3.360143621,2.692032834,0.601217651,0.00598105,4.791225919,30.79023613
"Spain","Sierra de Guadarrama","Cabeza de Hierro Mayor","4","3",2010-08-10,10,8,2010,0.749027591,3.6994151835,2.5704259225,3.735004795,2.89988717,0.6018836035,0.007188376,4.85525,33.545,3.250330154,2.290764057,3.211827101,2.539908693,0.56882564,0.005271639,4.626,31.5,3.531213369,2.566214934,3.360143621,2.692032834,0.601217651,0.00598105,4.791225919,30.79023613
"Spain","Sierra de Guadarrama","Cabeza de Hierro Mayor","4","4",2010-08-10,10,8,2010,0.749027591,3.6994151835,2.5704259225,3.735004795,2.89988717,0.6018836035,0.007188376,4.85525,33.545,3.250330154,2.290764057,3.211827101,2.539908693,0.56882564,0.005271639,4.626,31.5,3.531213369,2.566214934,3.360143621,2.692032834,0.601217651,0.00598105,4.791225919,30.79023613
"Spain","Sierra de Guadarrama","Cabeza de Hierro Mayor","4","5",2010-08-10,10,8,2010,0.749027591,3.6994151835,2.5704259225,3.735004795,2.89988717,0.6018836035,0.007188376,4.85525,33.545,3.250330154,2.290764057,3.211827101,2.539908693,0.56882564,0.005271639,4.626,31.5,3.531213369,2.566214934,3.360143621,2.692032834,0.601217651,0.00598105,4.791225919,30.79023613
"Spain","Sierra de Guadarrama","Cabeza de Hierro Menor","5","1",2010-08-10,10,8,2010,0.773937386,3.4696379355,2.21540114,4.4901711865,3.83067283,0.7764259885,0.0081904765,4.47,30.528,2.528960004,1.605359487,2.982614843,3.057779,0.820412705,0.00810223,4.994,26.162,2.506005447,1.87660134,3.50104009,3.108200542,0.768401211,0.00851982,4.61070877,30.15544242
"Spain","Sierra de Guadarrama","Cabeza de Hierro Menor","5","2",2010-08-10,10,8,2010,0.773937386,3.4696379355,2.21540114,4.4901711865,3.83067283,0.7764259885,0.0081904765,4.47,30.528,2.528960004,1.605359487,2.982614843,3.057779,0.820412705,0.00810223,4.994,26.162,2.506005447,1.87660134,3.50104009,3.108200542,0.768401211,0.00851982,4.61070877,30.15544242
"Spain","Sierra de Guadarrama","Cabeza de Hierro Menor","5","3",2010-08-10,10,8,2010,0.773937386,3.4696379355,2.21540114,4.4901711865,3.83067283,0.7764259885,0.0081904765,4.47,30.528,2.528960004,1.605359487,2.982614843,3.057779,0.820412705,0.00810223,4.994,26.162,2.506005447,1.87660134,3.50104009,3.108200542,0.768401211,0.00851982,4.61070877,30.15544242
"Spain","Sierra de Guadarrama","Cabeza de Hierro Menor","5","4",2010-08-10,10,8,2010,0.773937386,3.4696379355,2.21540114,4.4901711865,3.83067283,0.7764259885,0.0081904765,4.47,30.528,2.528960004,1.605359487,2.982614843,3.057779,0.820412705,0.00810223,4.994,26.162,2.506005447,1.87660134,3.50104009,3.108200542,0.768401211,0.00851982,4.61070877,30.15544242
"Spain","Sierra de Guadarrama","Cabeza de Hierro Menor","5","5",2010-08-10,10,8,2010,0.773937386,3.4696379355,2.21540114,4.4901711865,3.83067283,0.7764259885,0.0081904765,4.47,30.528,2.528960004,1.605359487,2.982614843,3.057779,0.820412705,0.00810223,4.994,26.162,2.506005447,1.87660134,3.50104009,3.108200542,0.768401211,0.00851982,4.61070877,30.15544242
"Spain","Sierra de Guadarrama","Cerro Malo","6","1",2010-08-04,4,8,2010,0.805266207,3.0953166395,1.386945484,1.8884906525,1.722576475,0.383695878,0.0105815765,4.878,30.88,2.643292012,1.055465387,1.795853071,1.697597515,0.493274671,0.009306813,5.304,25.02,2.913669254,1.061036704,1.787651002,1.649734095,0.432261637,0.00960482,5.203690696,25.05991673
"Spain","Sierra de Guadarrama","Cerro Malo","6","2",2010-08-04,4,8,2010,0.805266207,3.0953166395,1.386945484,1.8884906525,1.722576475,0.383695878,0.0105815765,4.878,30.88,2.643292012,1.055465387,1.795853071,1.697597515,0.493274671,0.009306813,5.304,25.02,2.913669254,1.061036704,1.787651002,1.649734095,0.432261637,0.00960482,5.203690696,25.05991673
"Spain","Sierra de Guadarrama","Cerro Malo","6","3",2010-08-04,4,8,2010,0.805266207,3.0953166395,1.386945484,1.8884906525,1.722576475,0.383695878,0.0105815765,4.878,30.88,2.643292012,1.055465387,1.795853071,1.697597515,0.493274671,0.009306813,5.304,25.02,2.913669254,1.061036704,1.787651002,1.649734095,0.432261637,0.00960482,5.203690696,25.05991673
